Timestamp,Rank,ID,Title,Price,SEO_Mode,Primary_Search_Intent,Secondary_Keywords,Zip_MB,Image_Count,Readme_Present,QA_Status,QA_Reason,Decision
2026-05-07 07:48:19 -0400,1,Poster-Academia-0019,Dark Academia Archivist Gateway | Vintage Study Room Wall Art | Digital Printable Poster for Quiet Contemplation | Jade Relic Decor,8.5,,reading nook printable,"reading nook printable, meditation room art, home office wall decor",11.08,5,True,PASS,,READY_FOR_NEXT_PAID_GRAY_BATCH
2026-05-07 07:48:19 -0400,2,Poster-Academia-0020,Dark Academia Mentor Threshold Poster | Intellectual Study Room Wall Art | Premium Digital Printable 2x3 3x4 4x5 5x7 11x14,6.99,,reading nook printable,"reading nook printable, meditation room art, home office wall decor",11.88,5,True,PASS,,READY_FOR_NEXT_PAID_GRAY_BATCH
2026-05-07 07:48:19 -0400,3,Poster-Academia-0035,"Dark Academia Theological Codex Poster, Sanctuary Study Decor, Quiet Library Wall Art, Premium Digital Print 12x18",6.99,,reading nook printable,"reading nook printable, meditation room art, home office wall decor",14.65,5,True,PASS,,READY_FOR_NEXT_PAID_GRAY_BATCH
2026-05-07 07:48:19 -0400,4,Poster-Academia-0014,Dark Academia Oracle Portal Prophetic Scriptures 12x18 Poster Study Decor Wall Art Digital Download Premium Print,6.99,,instant download gift,"instant download gift, printable art set, last minute decor",13.45,5,True,PASS,,READY_FOR_NEXT_PAID_GRAY_BATCH
2026-05-07 07:48:19 -0400,5,Poster-Academia-0017,"Magister Torii | Dark Academia Poster Scholarly Study Decor, Digital Download, Premium Printable Wall Art",6.99,,instant download gift,"instant download gift, printable art set, last minute decor",11.10,5,True,PASS,,READY_FOR_NEXT_PAID_GRAY_BATCH
2026-05-07 07:48:19 -0400,6,Poster-Academia-0022,"Dark Academia Temporal Reliquary Bell Jar Poster | Vintage Study Decor, Library Wall Art, Antique Botanical Print, 12x18 Digital Download",8.5,,instant download gift,"instant download gift, printable art set, last minute decor",13.36,5,True,PASS,,READY_FOR_NEXT_PAID_GRAY_BATCH
2026-05-07 07:48:19 -0400,7,Poster-Academia-0023,Hermetic Knowledge Lantern | Dark Academia Library Poster | Digital Printable Wall Art for Quiet Study & Premium Zen Decor,12.99,,book lover gift,"book lover gift, student dorm printable, writer office decor",12.81,5,True,PASS,,READY_FOR_NEXT_PAID_GRAY_BATCH
2026-05-07 07:48:19 -0400,8,Poster-Academia-0028,Dark Academia Alchemist Retort Library Poster | Vintage Study Room Wall Art | Quiet Scholar Decor | Printable Digital Download 2x3 3x4 4x5,6.99,,book lover gift,"book lover gift, student dorm printable, writer office decor",13.29,5,True,PASS,,READY_FOR_NEXT_PAID_GRAY_BATCH
2026-05-07 07:48:19 -0400,9,Poster-Academia-0033,Dark Academia Philosophical Theorem Reliquary Poster | Quiet Study Decor | Jade Relic Wall Art | 12x18 Digital Download,8.5,,book lover gift,"book lover gift, student dorm printable, writer office decor",13.05,5,True,PASS,,READY_FOR_NEXT_PAID_GRAY_BATCH
2026-05-07 07:48:19 -0400,10,Poster-Zen-0005,"Zen Phoenix Rebirth Vessel | Premium Digital Print for Meditation Room Decor, Dark Academia Wall Art, Jade Relic Study Poster",6.99,,instant download gift,"instant download gift, printable art set, last minute decor",12.09,5,True,PASS,,READY_FOR_NEXT_PAID_GRAY_BATCH
