Timestamp,ID,Product_Type,Status,Group,Printify_Product_ID,Old_Price,New_Price,Old_Title_Length,New_Title_Length,Old_Title,New_Title,Apply_Status
2026-05-07 02:06:35 -0400,Acrylic-Grimdark-0038,Acrylic,Printify_UI_Mockups4,A_QUIET_LUXURY_DESK_OBJECT,69f8928b25819cdf3d057ef7,$89.99,$89.99,75,79,Rose Quartz Chapel Soul Lantern Grimdark 5x7 Acrylic Art Gothic Collectible,Quiet Luxury Desk Relic Rose Quartz Chapel Soul Lantern 5x7 Acrylic Block Decor,LOCAL_APPLIED
2026-05-07 02:06:35 -0400,Acrylic-Grimdark-0039,Acrylic,Printify_UI_Mockups4,B_GOTHIC_COLLECTOR_SHELF,69f8931cb051b8a0e90b97c7,$89.99,$89.99,79,79,Sapphire Temple Soul Lantern Grimdark 5x7 Acrylic Display Gothic Artifact Shelf,Smoky Jade Gothic Object Sapphire Temple Soul Lantern Artifact 5x7 Acrylic Gift,LOCAL_APPLIED
2026-05-07 02:06:35 -0400,Acrylic-Grimdark-0040,Acrylic,Printify_UI_Mockups4,B_GOTHIC_COLLECTOR_SHELF,69f8937bbe136844f0004b36,$89.99,$89.99,79,79,Silver Moon Gate Soul Lantern Grimdark 5x7 Acrylic Art Gothic Mentor-Grade Gift,Smoky Jade Gothic Object Silver Moon Gate Soul Lantern 5x7 Acrylic Display Gift,LOCAL_APPLIED
2026-05-07 02:06:35 -0400,Sticker-Zen-0072,Sticker,Printify_UI_Mockups5,A_DEEP_WORK_STICKER_SET,69f26281feceb0d66c042ce7,$11.99,$11.99,79,78,Celestial Koi Constellation 4pc 6x6 Kiss-Cut Sticker Zen Aesthetic Laptop Vinyl,Deep Work Sticker Set Celestial Koi Constellation 4pc 6x6 Vinyl Laptop Journal,LOCAL_APPLIED
2026-05-07 02:06:35 -0400,Sticker-Zen-0073,Sticker,Printify_UI_Mockups5,B_BOOK_NOOK_LAPTOP_DECALS,69f262db5269e3325904b893,$11.99,$11.99,79,76,Sacred Singing Bowl Mindful Zen 4pc 6x6 Vinyl Sticker Yoga Minimalist Gift Gift,Book Nook Laptop Decals Sacred Singing Bowl Yoga Minimalist 4pc 6x6 Kiss-Cut,LOCAL_APPLIED
2026-05-07 02:06:35 -0400,Sticker-Zen-0074,Sticker,Printify_UI_Mockups5,A_DEEP_WORK_STICKER_SET,69f263729b469f716d0e7409,$11.99,$11.99,79,75,Minimal Zen Bamboo Pagoda Relic 4pc 6x6 Sticker Sheet Serene Mindful Clean Gift,Deep Work Sticker Set Bamboo Pagoda Relic Serene Clean 4pc 6x6 Vinyl Laptop,LOCAL_APPLIED
2026-05-07 02:06:35 -0400,Sticker-Zen-0075,Sticker,Printify_UI_Mockups5,B_BOOK_NOOK_LAPTOP_DECALS,69f26426671cc7c7960b3f3d,$11.99,$11.99,75,79,Mindful Zen Dragon Pearl Talisman 4pc 6x6 Vinyl Sticker Laptop Journal Gift,Book Nook Laptop Decals Dragon Pearl Talisman 4pc 6x6 Kiss-Cut Sticker Set Gift,LOCAL_APPLIED
2026-05-07 02:06:35 -0400,Sticker-Zen-0076,Sticker,Printify_UI_Mockups5,A_DEEP_WORK_STICKER_SET,69f264df357398ded80f6a3a,$11.99,$11.99,78,75,Moonlit Mountain Shrine Mindful Zen 4pc 6x6 Vinyl Sticker Yoga Minimalist Gift,Deep Work Sticker Set Moonlit Mountain Shrine Yoga Minimalist 4pc 6x6 Vinyl,LOCAL_APPLIED
2026-05-07 02:06:35 -0400,Sticker-Zen-0081,Sticker,Printify_UI_Mockups5,A_DEEP_WORK_STICKER_SET,69f26782c326d7da170c1498,$11.99,$11.99,79,76,Celestial Koi Ascension Minimal Zen 4pc 6x6 Kiss-Cut Vinyl Desk Collector Decor,Deep Work Sticker Set Celestial Koi Ascension Collector 4pc 6x6 Vinyl Laptop,LOCAL_APPLIED
2026-05-07 02:06:35 -0400,Sticker-Zen-0083,Sticker,Printify_UI_Mockups5,A_DEEP_WORK_STICKER_SET,69f2683ecaeb1241880b7fcb,$11.99,$11.99,75,78,Phoenix Wing Fragment 4pc 6x6 Kiss-Cut Sticker Zen Aesthetic Laptop Journal,Deep Work Sticker Set Phoenix Wing Fragment 4pc 6x6 Vinyl Laptop Journal Decor,LOCAL_APPLIED
