Timestamp,Slot,Track,Track_Objective,Platform_Target,ID,Product_Type,Category,Current_Status,Views_30d,eBay_Item_ID,Etsy_Listing_ID,Price_Target,SEO_Template,Primary_Search_Intent,Secondary_Keywords,Mockup_Mood,Jitter_Minutes,QA_Status,QA_Reason,Risk_Guard,Fee_Impact_USD,Launch_Action,Stop_Rule,Source_Path,Notes
2026-05-07 10:54:57 -0400,1,A_LOW_COMPETITION_NICHE,Force non-zero traffic through long-tail room-use and buyer-scene terms.,eBay/Etsy,Poster-Academia-0036,Poster,Academia,Printify_Published_Mockups8,,406909472775,,$34.99,ROOM_USE_LONG_TAIL,dark academia reading nook,"dark academia reading nook, home library wall art, book nook decor, study room poster, scholar desk decor, dorm library print",reading_nook_warm_lamp,44,READY,PASS,PASS_GUARDED,0.00,COPY_OR_PRICE_EXPERIMENT_ON_EXISTING_LISTING,"If 10 live tests get 0 views after 48h, downgrade category terms again before adding volume.",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0036_Ready_for_Steaming\Cover_Mockup.png,Single artwork product: buyer receives the main design; extra imagery must remain concept/detail context. Zero-view or unknown-view item; prioritize search-intent rewrite over more volume.
2026-05-07 10:54:57 -0400,2,A_LOW_COMPETITION_NICHE,Force non-zero traffic through long-tail room-use and buyer-scene terms.,eBay/Etsy,Acrylic-Zen-0007,Acrylic,Zen,Printify_Published_Mockups5,0,406903028253,,$89.99,ROOM_USE_LONG_TAIL,meditation room wall art,"reading nook decor, meditation room wall art, tea room accent, quiet corner decor, dorm desk calm art, deep work visual",reading_nook_warm_lamp,22,READY,PASS,PASS_GUARDED,0.00,COPY_OR_PRICE_EXPERIMENT_ON_EXISTING_LISTING,"If 10 live tests get 0 views after 48h, downgrade category terms again before adding volume.",C:\AIprojects\openclaw_difi\Output\Acrylic\Photo-Block\MASTER_Acrylic-Zen-0007_Ready_for_Steaming\Cover_Mockup.png,Single artwork product: buyer receives the main design; extra imagery must remain concept/detail context. Zero-view or unknown-view item; prioritize search-intent rewrite over more volume.
2026-05-07 10:54:57 -0400,3,A_LOW_COMPETITION_NICHE,Force non-zero traffic through long-tail room-use and buyer-scene terms.,eBay/Etsy,Acrylic-Zen-0006,Acrylic,Zen,Printify_Published_Mockups5,2,406902898909,,$89.99,ROOM_USE_LONG_TAIL,tea room accent,"reading nook decor, meditation room wall art, tea room accent, quiet corner decor, dorm desk calm art, deep work visual",reading_nook_warm_lamp,36,READY,PASS,PASS_GUARDED,0.00,COPY_OR_PRICE_EXPERIMENT_ON_EXISTING_LISTING,"If 10 live tests get 0 views after 48h, downgrade category terms again before adding volume.",C:\AIprojects\openclaw_difi\Output\Acrylic\Photo-Block\MASTER_Acrylic-Zen-0006_Ready_for_Steaming\Cover_Mockup.png,Single artwork product: buyer receives the main design; extra imagery must remain concept/detail context.
2026-05-07 10:54:57 -0400,4,A_LOW_COMPETITION_NICHE,Force non-zero traffic through long-tail room-use and buyer-scene terms.,eBay/Etsy,Acrylic-Grimdark-0085,Acrylic,Grimdark,Printify_Published_Mockups4,0,406903043482,,$89.99,ROOM_USE_LONG_TAIL,dark study room decor,"gothic shelf decor, moody desk display, occult library art, dark study room decor, collector shelf object, smoky jade relic",reading_nook_warm_lamp,30,READY,PASS,PASS_GUARDED,0.00,COPY_OR_PRICE_EXPERIMENT_ON_EXISTING_LISTING,"If 10 live tests get 0 views after 48h, downgrade category terms again before adding volume.",C:\AIprojects\openclaw_difi\Output\Acrylic\Photo-Block\MASTER_Acrylic-Grimdark-0085_Ready_for_Steaming\Cover_Mockup.png,Single artwork product: buyer receives the main design; extra imagery must remain concept/detail context. Zero-view or unknown-view item; prioritize search-intent rewrite over more volume.
2026-05-07 10:54:57 -0400,5,A_LOW_COMPETITION_NICHE,Force non-zero traffic through long-tail room-use and buyer-scene terms.,eBay/Etsy,Acrylic-Grimdark-0038,Acrylic,Grimdark,Printify_Published_Mockups4,,406910074365,,$89.99,ROOM_USE_LONG_TAIL,collector shelf object,"gothic shelf decor, moody desk display, occult library art, dark study room decor, collector shelf object, smoky jade relic",reading_nook_warm_lamp,37,READY,PASS,PASS_GUARDED,0.00,COPY_OR_PRICE_EXPERIMENT_ON_EXISTING_LISTING,"If 10 live tests get 0 views after 48h, downgrade category terms again before adding volume.",C:\AIprojects\openclaw_difi\Output\Acrylic\Photo-Block\MASTER_Acrylic-Grimdark-0038_Ready_for_Steaming\Cover_Mockup.png,Single artwork product: buyer receives the main design; extra imagery must remain concept/detail context. Zero-view or unknown-view item; prioritize search-intent rewrite over more volume.
2026-05-07 10:54:57 -0400,6,A_LOW_COMPETITION_NICHE,Force non-zero traffic through long-tail room-use and buyer-scene terms.,eBay/Etsy,Acrylic-Grimdark-0014,Acrylic,Grimdark,Printify_Published_Mockups4,,406909159060,,$89.99,ROOM_USE_LONG_TAIL,smoky jade relic,"gothic shelf decor, moody desk display, occult library art, dark study room decor, collector shelf object, smoky jade relic",quiet_luxury_apartment,26,READY,PASS,PASS_GUARDED,0.00,COPY_OR_PRICE_EXPERIMENT_ON_EXISTING_LISTING,"If 10 live tests get 0 views after 48h, downgrade category terms again before adding volume.",C:\AIprojects\openclaw_difi\Output\Acrylic\Photo-Block\MASTER_Acrylic-Grimdark-0014_Ready_for_Steaming\Cover_Mockup.png,Single artwork product: buyer receives the main design; extra imagery must remain concept/detail context. Zero-view or unknown-view item; prioritize search-intent rewrite over more volume.
2026-05-07 10:54:57 -0400,7,A_LOW_COMPETITION_NICHE,Force non-zero traffic through long-tail room-use and buyer-scene terms.,eBay/Etsy,Poster-Academia-0019,Poster,Academia,Printify_Published_Mockups8,,406903744471,,$34.99,ROOM_USE_LONG_TAIL,dark academia reading nook,"dark academia reading nook, home library wall art, book nook decor, study room poster, scholar desk decor, dorm library print",quiet_luxury_apartment,22,READY,PASS,PASS_GUARDED,0.00,COPY_OR_PRICE_EXPERIMENT_ON_EXISTING_LISTING,"If 10 live tests get 0 views after 48h, downgrade category terms again before adding volume.",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0019_Ready_for_Steaming\Cover_Mockup.png,Single artwork product: buyer receives the main design; extra imagery must remain concept/detail context. Zero-view or unknown-view item; prioritize search-intent rewrite over more volume.
2026-05-07 10:54:57 -0400,8,A_LOW_COMPETITION_NICHE,Force non-zero traffic through long-tail room-use and buyer-scene terms.,eBay/Etsy,Acrylic-Grimdark-0019,Acrylic,Grimdark,Printify_Published_Mockups4,,406909223875,,$89.99,ROOM_USE_LONG_TAIL,moody desk display,"gothic shelf decor, moody desk display, occult library art, dark study room decor, collector shelf object, smoky jade relic",quiet_luxury_apartment,12,READY,PASS,PASS_GUARDED,0.00,COPY_OR_PRICE_EXPERIMENT_ON_EXISTING_LISTING,"If 10 live tests get 0 views after 48h, downgrade category terms again before adding volume.",C:\AIprojects\openclaw_difi\Output\Acrylic\Photo-Block\MASTER_Acrylic-Grimdark-0019_Ready_for_Steaming\Cover_Mockup.png,Single artwork product: buyer receives the main design; extra imagery must remain concept/detail context. Zero-view or unknown-view item; prioritize search-intent rewrite over more volume.
2026-05-07 10:54:57 -0400,9,A_LOW_COMPETITION_NICHE,Force non-zero traffic through long-tail room-use and buyer-scene terms.,eBay/Etsy,Acrylic-Grimdark-0027,Acrylic,Grimdark,Printify_Published_Mockups4,,406909233684,,$89.99,ROOM_USE_LONG_TAIL,occult library art,"gothic shelf decor, moody desk display, occult library art, dark study room decor, collector shelf object, smoky jade relic",quiet_luxury_apartment,35,READY,PASS,PASS_GUARDED,0.00,COPY_OR_PRICE_EXPERIMENT_ON_EXISTING_LISTING,"If 10 live tests get 0 views after 48h, downgrade category terms again before adding volume.",C:\AIprojects\openclaw_difi\Output\Acrylic\Photo-Block\MASTER_Acrylic-Grimdark-0027_Ready_for_Steaming\Cover_Mockup.png,Single artwork product: buyer receives the main design; extra imagery must remain concept/detail context. Zero-view or unknown-view item; prioritize search-intent rewrite over more volume.
2026-05-07 10:54:57 -0400,10,A_LOW_COMPETITION_NICHE,Force non-zero traffic through long-tail room-use and buyer-scene terms.,eBay/Etsy,Acrylic-Grimdark-0033,Acrylic,Grimdark,Printify_Published_Mockups4,,406909240724,,$89.99,ROOM_USE_LONG_TAIL,dark study room decor,"gothic shelf decor, moody desk display, occult library art, dark study room decor, collector shelf object, smoky jade relic",quiet_luxury_apartment,34,READY,PASS,PASS_GUARDED,0.00,COPY_OR_PRICE_EXPERIMENT_ON_EXISTING_LISTING,"If 10 live tests get 0 views after 48h, downgrade category terms again before adding volume.",C:\AIprojects\openclaw_difi\Output\Acrylic\Photo-Block\MASTER_Acrylic-Grimdark-0033_Ready_for_Steaming\Cover_Mockup.png,Single artwork product: buyer receives the main design; extra imagery must remain concept/detail context. Zero-view or unknown-view item; prioritize search-intent rewrite over more volume.
2026-05-07 10:54:57 -0400,11,A_LOW_COMPETITION_NICHE,Force non-zero traffic through long-tail room-use and buyer-scene terms.,eBay/Etsy,Acrylic-Grimdark-0017,Acrylic,Grimdark,Printify_Published_Mockups4,,406909219066,,$89.99,ROOM_USE_LONG_TAIL,collector shelf object,"gothic shelf decor, moody desk display, occult library art, dark study room decor, collector shelf object, smoky jade relic",meditation_corner_soft_shadow,14,READY,PASS,PASS_GUARDED,0.00,COPY_OR_PRICE_EXPERIMENT_ON_EXISTING_LISTING,"If 10 live tests get 0 views after 48h, downgrade category terms again before adding volume.",C:\AIprojects\openclaw_difi\Output\Acrylic\Photo-Block\MASTER_Acrylic-Grimdark-0017_Ready_for_Steaming\Cover_Mockup.png,Single artwork product: buyer receives the main design; extra imagery must remain concept/detail context. Zero-view or unknown-view item; prioritize search-intent rewrite over more volume.
