Timestamp,Queue_ID,Source_ID,Local_Image_Path,Stock_Title,Keywords,Adobe_Generative_AI_Flag,Shutterstock_CSV_Ready,Freepik_FTP_Status,Wirestock_Status,Risk_Status,Notes
2026-05-07 11:12:15 -0400,STOCK-0001-poster-academia-0001,Poster-Academia-0001,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0001_Ready_for_Steaming\Production_Design.png,Celestial Gateway Dark Academia Poster Study Decor Moonstone Architecture,"quiet luxury, dark academia, smoky jade, reading nook, meditation room, home office decor, wabi sabi, wall art, interior design, moody decor, study room, luxury apartment, visual asset",REQUIRED_IF_SUBMITTED,YES_METADATA_ONLY,BLOCKED_UNTIL_500_PUBLISHED_FILES,MANUAL_PORTAL_OR_UNVERIFIED_API,HOLD_FOR_PLATFORM_SPECIFIC_QA,Metadata/export only. Do not FTP-submit until agency account status and AI disclosure fields are verified.
2026-05-07 11:12:15 -0400,STOCK-0002-poster-academia-0002,Poster-Academia-0002,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0002_Ready_for_Steaming\Production_Design.png,Dark Academia Obsidian Threshold Poster Vintage Study Decor Mentor Wisdom,"quiet luxury, dark academia, smoky jade, reading nook, meditation room, home office decor, wabi sabi, wall art, interior design, moody decor, study room, luxury apartment, visual asset",REQUIRED_IF_SUBMITTED,YES_METADATA_ONLY,BLOCKED_UNTIL_500_PUBLISHED_FILES,MANUAL_PORTAL_OR_UNVERIFIED_API,HOLD_FOR_PLATFORM_SPECIFIC_QA,Metadata/export only. Do not FTP-submit until agency account status and AI disclosure fields are verified.
2026-05-07 11:12:15 -0400,STOCK-0003-poster-academia-0003,Poster-Academia-0003,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0003_Ready_for_Steaming\Production_Design.png,Dark Academia Serpentine Portal of Alchemical Texts Poster Study Decor,"quiet luxury, dark academia, smoky jade, reading nook, meditation room, home office decor, wabi sabi, wall art, interior design, moody decor, study room, luxury apartment, visual asset",REQUIRED_IF_SUBMITTED,YES_METADATA_ONLY,BLOCKED_UNTIL_500_PUBLISHED_FILES,MANUAL_PORTAL_OR_UNVERIFIED_API,HOLD_FOR_PLATFORM_SPECIFIC_QA,Metadata/export only. Do not FTP-submit until agency account status and AI disclosure fields are verified.
2026-05-07 11:12:15 -0400,STOCK-0004-poster-academia-0081,Poster-Academia-0081,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0081_Ready_for_Steaming\Production_Design.png,Celestial Armillary Sphere Dark Academia Poster Scholar Study Decor Wall,"quiet luxury, dark academia, smoky jade, reading nook, meditation room, home office decor, wabi sabi, wall art, interior design, moody decor, study room, luxury apartment, visual asset",REQUIRED_IF_SUBMITTED,YES_METADATA_ONLY,BLOCKED_UNTIL_500_PUBLISHED_FILES,MANUAL_PORTAL_OR_UNVERIFIED_API,HOLD_FOR_PLATFORM_SPECIFIC_QA,Metadata/export only. Do not FTP-submit until agency account status and AI disclosure fields are verified.
2026-05-07 11:12:15 -0400,STOCK-0005-poster-academia-0082,Poster-Academia-0082,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0082_Ready_for_Steaming\Production_Design.png,Celestial Armillary Codex Academia Poster Vintage Astronomy Decor Wall,"quiet luxury, dark academia, smoky jade, reading nook, meditation room, home office decor, wabi sabi, wall art, interior design, moody decor, study room, luxury apartment, visual asset",REQUIRED_IF_SUBMITTED,YES_METADATA_ONLY,BLOCKED_UNTIL_500_PUBLISHED_FILES,MANUAL_PORTAL_OR_UNVERIFIED_API,HOLD_FOR_PLATFORM_SPECIFIC_QA,Metadata/export only. Do not FTP-submit until agency account status and AI disclosure fields are verified.
2026-05-07 11:12:15 -0400,STOCK-0006-poster-academia-0083,Poster-Academia-0083,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0083_Ready_for_Steaming\Production_Design.png,Academia Mentor-Grade Cosmic Lotus Observatory Poster Steampunk Study,"quiet luxury, dark academia, smoky jade, reading nook, meditation room, home office decor, wabi sabi, wall art, interior design, moody decor, study room, luxury apartment, visual asset",REQUIRED_IF_SUBMITTED,YES_METADATA_ONLY,BLOCKED_UNTIL_500_PUBLISHED_FILES,MANUAL_PORTAL_OR_UNVERIFIED_API,HOLD_FOR_PLATFORM_SPECIFIC_QA,Metadata/export only. Do not FTP-submit until agency account status and AI disclosure fields are verified.
2026-05-07 11:12:15 -0400,STOCK-0007-poster-academia-0084,Poster-Academia-0084,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0084_Ready_for_Steaming\Production_Design.png,Astrolabe Chalice Relic Dark Academia Poster Vintage Study Decor Wall,"quiet luxury, dark academia, smoky jade, reading nook, meditation room, home office decor, wabi sabi, wall art, interior design, moody decor, study room, luxury apartment, visual asset",REQUIRED_IF_SUBMITTED,YES_METADATA_ONLY,BLOCKED_UNTIL_500_PUBLISHED_FILES,MANUAL_PORTAL_OR_UNVERIFIED_API,HOLD_FOR_PLATFORM_SPECIFIC_QA,Metadata/export only. Do not FTP-submit until agency account status and AI disclosure fields are verified.
2026-05-07 11:12:15 -0400,STOCK-0008-poster-academia-0085,Poster-Academia-0085,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0085_Ready_for_Steaming\Production_Design.png,Orrery Lighthouse Beacon Dark Academia Poster Vintage Astronomy Wall Art,"quiet luxury, dark academia, smoky jade, reading nook, meditation room, home office decor, wabi sabi, wall art, interior design, moody decor, study room, luxury apartment, visual asset",REQUIRED_IF_SUBMITTED,YES_METADATA_ONLY,BLOCKED_UNTIL_500_PUBLISHED_FILES,MANUAL_PORTAL_OR_UNVERIFIED_API,HOLD_FOR_PLATFORM_SPECIFIC_QA,Metadata/export only. Do not FTP-submit until agency account status and AI disclosure fields are verified.
2026-05-07 11:12:15 -0400,STOCK-0009-poster-academia-0091,Poster-Academia-0091,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0091_Ready_for_Steaming\Production_Design.png,Dark Academia Celestial Lotus Poster Vintage Study Room Wall Art Decor,"quiet luxury, dark academia, smoky jade, reading nook, meditation room, home office decor, wabi sabi, wall art, interior design, moody decor, study room, luxury apartment, visual asset",REQUIRED_IF_SUBMITTED,YES_METADATA_ONLY,BLOCKED_UNTIL_500_PUBLISHED_FILES,MANUAL_PORTAL_OR_UNVERIFIED_API,HOLD_FOR_PLATFORM_SPECIFIC_QA,Metadata/export only. Do not FTP-submit until agency account status and AI disclosure fields are verified.
2026-05-07 11:12:15 -0400,STOCK-0010-poster-zen-0001,Poster-Zen-0001,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Zen-0001_Ready_for_Steaming\Production_Design.png,Zen Bonsai Wall Art Celestial Gate of Jade Mist Poster Meditation Decor,"quiet luxury, dark academia, smoky jade, reading nook, meditation room, home office decor, wabi sabi, wall art, interior design, moody decor, study room, luxury apartment, visual asset",REQUIRED_IF_SUBMITTED,YES_METADATA_ONLY,BLOCKED_UNTIL_500_PUBLISHED_FILES,MANUAL_PORTAL_OR_UNVERIFIED_API,HOLD_FOR_PLATFORM_SPECIFIC_QA,Metadata/export only. Do not FTP-submit until agency account status and AI disclosure fields are verified.
2026-05-07 11:12:15 -0400,STOCK-0011-poster-zen-0002,Poster-Zen-0002,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Zen-0002_Ready_for_Steaming\Production_Design.png,Dark Academia Phoenix Incense Burner Poster Ritual Zen Decor Wall Study,"quiet luxury, dark academia, smoky jade, reading nook, meditation room, home office decor, wabi sabi, wall art, interior design, moody decor, study room, luxury apartment, visual asset",REQUIRED_IF_SUBMITTED,YES_METADATA_ONLY,BLOCKED_UNTIL_500_PUBLISHED_FILES,MANUAL_PORTAL_OR_UNVERIFIED_API,HOLD_FOR_PLATFORM_SPECIFIC_QA,Metadata/export only. Do not FTP-submit until agency account status and AI disclosure fields are verified.
2026-05-07 11:12:15 -0400,STOCK-0012-poster-zen-0004,Poster-Zen-0004,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Zen-0004_Ready_for_Steaming\Production_Design.png,Zen Celestial Compass Poster Wall Art Calm Study Decor Library Gift Room,"quiet luxury, dark academia, smoky jade, reading nook, meditation room, home office decor, wabi sabi, wall art, interior design, moody decor, study room, luxury apartment, visual asset",REQUIRED_IF_SUBMITTED,YES_METADATA_ONLY,BLOCKED_UNTIL_500_PUBLISHED_FILES,MANUAL_PORTAL_OR_UNVERIFIED_API,HOLD_FOR_PLATFORM_SPECIFIC_QA,Metadata/export only. Do not FTP-submit until agency account status and AI disclosure fields are verified.
2026-05-07 11:12:15 -0400,STOCK-0013-poster-zen-0005,Poster-Zen-0005,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Zen-0005_Ready_for_Steaming\Production_Design.png,Zen Phoenix Rebirth Vessel Poster for Meditation Room Decor Wall Study,"quiet luxury, dark academia, smoky jade, reading nook, meditation room, home office decor, wabi sabi, wall art, interior design, moody decor, study room, luxury apartment, visual asset",REQUIRED_IF_SUBMITTED,YES_METADATA_ONLY,BLOCKED_UNTIL_500_PUBLISHED_FILES,MANUAL_PORTAL_OR_UNVERIFIED_API,HOLD_FOR_PLATFORM_SPECIFIC_QA,Metadata/export only. Do not FTP-submit until agency account status and AI disclosure fields are verified.
